141,'IDSWHD',4,T,'uwind','vwind',              'Surface Wind divergence (1/s)'
142,'IDRHUJ',4,T,'rho','hraw',                 'Raw U-JEBAR (m2/s2)'
143,'IDRHVJ',4,T,'rho','hraw',                 'Raw V-JEBAR (m2/s2)'
144,'IDRHJV',5,T,'rho','hraw',                 'Raw JEBAR Vectors (m2/s2)'
145,'IDRHJM',5,T,'rho','hraw',                 'Raw JEBAR Vector Magnitude (m2/s2)'
146,'IDRHJS',5,T,'rho','hraw',                 'Raw JEBAR Vector Streamlines'
147,'IDRHJB',5,T,'rho','hraw',                 'Raw JEBAR Vector Barbs'
148,'IDMHUJ',4,T,'rho','h',                    'Model U-JEBAR (m2/s2)'
149,'IDMHVJ',4,T,'rho','h',                    'Model V-JEBAR (m2/s2)'
150,'IDMHJV',5,T,'rho','h',                    'Model JEBAR Vectors (m2/s2)'
151,'IDMHJM',5,T,'rho','h',                    'Model JEBAR Vector Magnitude (m2/s2)'
152,'IDMHJS',5,T,'rho','h',                    'Model JEBAR Vector Streamlines'
153,'IDMHJB',5,T,'rho','h',                    'Model JEBAR Vector Barbs'
154,'IDUSUR',1,T,'Usur','-',                   'RADAR Surface U-velocity (cm/s)' 
155,'IDVSUR',1,T,'Vsur','-',                   'RADAR Surface V-velocity (cm/s)'
156,'IDSVEC',2,T,'Usur','Vsur',                'RADAR Surface Velocity Vectors (cm/s)'
157,'IDSURM',2,T,'Usur','Vsur',                'RADAR Surface Velocity Magnitude (cm/s)'
158,'IDSSTR',2,T,'Usur','Vsur',                'RADAR Surface Velocity Streamlines'
159,'IDSBRB',2,T,'Usur','Vsur',                'RADAR Surface Velocity Barbs'
160,'IDNPYT',4,T,'f','h',                      'Entropy Transport (Sv)'
161,'IDUNPY',4,T,'f','h',                      'Entropy U-velocity (cm/s)'
162,'IDVNPY',4,T,'f','h',                      'Entropy V-velocity (cm/s)'
163,'IDNPYV',5,T,'f','h',                      'Entropy Velocity Vectors (cm/s)'
164,'IDNPYM',5,T,'f','h',                      'Entropy Velocity Magnitude (cm/s)'
165,'IDNPYS',5,T,'f','h',                      'Entropy Velocity Streamlines'
166,'IDNPYB',5,T,'f','h',                      'Entropy Velocity Barbs'
167,'IDBERN',4,F,'temp','salt',                'Bernoulli Function (Pa)'
168,'IDBN03',1,F,'NO3','-',                    'Nitrate (mmoles N/m3)'
169,'IDPHYT',1,F,'phytoplankton','-',          'Phytoplankton (mmoles N/m3)'
170,'IDZOOP',1,F,'zooplankton','-',            'Zooplankton (mmoles N/m3)'
171,'IDBNH4',1,F,'NH4','-',                    'Ammonium (mmoles N/m3)'
172,'IDLDET',1,F,'Ldetritus','-',              'Large Fraction Detritus (mmoles N/m3)'
173,'IDLDET',1,F,'Sdetritus','-',              'Small Fraction Detritus (mmoles N/m3)'
174,'IDCPRA',1,F,'chlorophyll','-',            'Chlorophyll (mmoles N/m3)'
175,'IDENO3',1,F,'NO3','-',                    'Nitrate concentration (meter-3)'
176,'IDENH4',1,F,'NH4','-',                    'Ammonium concentration (meter-3)'
177,'IDEPO4',1,F,'PO4','-',                    'Phosphate concentration (meter-3)'
178,'IDEFeO',1,F,'FeO','-',                    'Iron concentration (meter-3)'
179,'IDESiO',1,F,'SiO','-',                    'Silica concentration (meter-3)'
180,'IDEDIC',1,F,'DIC','-',                    'DIC concentration (meter-3)'
181,'IDBaC1',1,F,'BacC1','-',                  'Bacteria(1) Carbon (meter-3)'
182,'IDBaF1',1,F,'BacF1','-',                  'Bacteria(1) Iron (meter-3)'
183,'IDBaN1',1,F,'BacN1','-',                  'Bacteria(1) Nitrogen (meter-3)'
184,'IDBaP1',1,F,'BacP1','-',                  'Bacteria(1) Phosphorus (meter-3)'
185,'IDCDC1',1,F,'CDMC1','-',                  'Color Degradational Matter(1) (meter-3)'
186,'IDCDC2',1,F,'CDMC2','-',                  'Color Degradational Matter(2) (meter-3)'
187,'IDDOC1',1,F,'DOMC1','-',                  'Diss Org Matter(1) Carbon (meter-3)'
188,'IDDOC2',1,F,'DOMC2','-',                  'Diss Org Matter(2) Carbon(meter-3)'
189,'IDDON1',1,F,'DOMN1','-',                  'Diss Org Matter(1) Nitrogen (meter-3)'
190,'IDDON2',1,F,'DOMN2','-',                  'Diss Org Matter(2) Nitrogen (meter-3)'
191,'IDDOP1',1,F,'DOMP1','-',                  'Diss Org Matter(1) Phosphorus (meter-3)'
192,'IDDOP2',1,F,'DOMP2','-',                  'Diss Org Matter(2) Phosphorus (meter-3)'
193,'IDFeC1',1,F,'FecC1','-',                  'Fecal Matter(1) Carbon Group (meter-3)'
194,'IDFeC2',1,F,'FecC2','-',                  'Fecal Matter(2) Carbon Group (meter-3)'
